sample_id,subject_id,label
Fold4_part2/Fold4_part2/48/10.MOV,48,drowsy
Fold4_part2/Fold4_part2/48/5.MOV,48,low_vigilance
Fold4_part2/Fold4_part2/47/0.mp4,47,alert
Fold4_part2/Fold4_part2/47/10.mp4,47,drowsy
Fold4_part2/Fold4_part2/47/5.mp4,47,low_vigilance
Fold1_part1/Fold1_part1/06/0.mp4,06,alert
Fold1_part1/Fold1_part1/06/10.mp4,06,drowsy
Fold1_part1/Fold1_part1/06/5.mp4,06,low_vigilance
Fold4_part2/Fold4_part2/43/0.mov,43,alert
Fold4_part2/Fold4_part2/43/10.mov,43,drowsy
Fold4_part2/Fold4_part2/43/5.mp4,43,low_vigilance
Fold1_part2/Fold1_part2/12/0.mp4,12,alert
Fold1_part2/Fold1_part2/12/10.mp4,12,drowsy
Fold1_part2/Fold1_part2/12/5.mp4,12,low_vigilance
Fold2_part2/Fold2_part2/22/0.MOV,22,alert
Fold2_part2/Fold2_part2/22/10.MOV,22,drowsy
Fold2_part2/Fold2_part2/22/5.MOV,22,low_vigilance
Fold3_part1/Fold3_part1/28/0.MOV,28,alert
Fold3_part1/Fold3_part1/28/10.MOV,28,drowsy
Fold3_part1/Fold3_part1/28/5.MOV,28,low_vigilance
Fold2_part1/Fold2_part1/16/0.MOV,16,alert
Fold2_part1/Fold2_part1/16/10.MOV,16,drowsy
Fold2_part1/Fold2_part1/16/5.MOV,16,low_vigilance
Fold1_part2/Fold1_part2/11/0.mp4,11,alert
Fold1_part2/Fold1_part2/11/10.mp4,11,drowsy
Fold1_part2/Fold1_part2/11/5.mp4,11,low_vigilance
Fold4_part2/Fold4_part2/46/10.mov,46,drowsy
Fold1_part1/Fold1_part1/04/0.mp4,04,alert
Fold1_part1/Fold1_part1/04/10.mp4,04,drowsy
Fold1_part1/Fold1_part1/04/5.mp4,04,low_vigilance
Fold1_part2/Fold1_part2/10/0.MOV,10,alert
Fold1_part2/Fold1_part2/10/10.MOV,10,drowsy
Fold1_part2/Fold1_part2/10/5.MOV,10,low_vigilance
Fold1_part1/Fold1_part1/05/0.MOV,05,alert
Fold1_part1/Fold1_part1/05/10.MOV,05,drowsy
Fold1_part1/Fold1_part1/05/5.MOV,05,low_vigilance
Fold4_part1/Fold4_part1/40/0.mp4,40,alert
Fold4_part1/Fold4_part1/40/10.mp4,40,drowsy
Fold4_part1/Fold4_part1/40/5.mp4,40,low_vigilance
Fold3_part1/Fold3_part1/30/0.mp4,30,alert
Fold3_part1/Fold3_part1/30/10.mp4,30,drowsy
Fold3_part1/Fold3_part1/30/5.mp4,30,low_vigilance
Fold4_part1/Fold4_part1/39/0.MP4,39,alert
Fold4_part1/Fold4_part1/39/10.MOV,39,drowsy
Fold4_part1/Fold4_part1/39/5.MOV,39,low_vigilance
Fold2_part1/Fold2_part1/18/0.mov,18,alert
Fold2_part1/Fold2_part1/18/10.mov,18,drowsy
Fold2_part1/Fold2_part1/18/5.mov,18,low_vigilance
Fold3_part2/Fold3_part2/36/0.mp4,36,alert
Fold3_part2/Fold3_part2/36/10.mp4,36,drowsy
Fold3_part2/Fold3_part2/36/5.mp4,36,low_vigilance
Fold4_part2/Fold4_part2/42/0.mp4,42,alert
Fold4_part2/Fold4_part2/42/10.mp4,42,drowsy
Fold4_part2/Fold4_part2/42/5.mp4,42,low_vigilance
Fold4_part1/Fold4_part1/41/0.MP4,41,alert
Fold4_part1/Fold4_part1/41/10.MOV,41,drowsy
Fold4_part1/Fold4_part1/41/5.mp4,41,low_vigilance
Fold1_part2/Fold1_part2/07/0.mp4,07,alert
Fold1_part2/Fold1_part2/07/10.mp4,07,drowsy
Fold1_part2/Fold1_part2/07/5.mp4,07,low_vigilance
Fold3_part2/Fold3_part2/35/0.mp4,35,alert
Fold3_part2/Fold3_part2/35/10.mp4,35,drowsy
Fold3_part2/Fold3_part2/35/5.mp4,35,low_vigilance
Fold2_part2/Fold2_part2/19/0.MOV,19,alert
Fold2_part2/Fold2_part2/19/10.MOV,19,drowsy
Fold2_part2/Fold2_part2/19/5.MOV,19,low_vigilance
Fold1_part2/Fold1_part2/09/0.mp4,09,alert
Fold1_part2/Fold1_part2/09/10.mp4,09,drowsy
Fold1_part2/Fold1_part2/09/5.mp4,09,low_vigilance
Fold4_part2/Fold4_part2/44/0.mov,44,alert
Fold4_part2/Fold4_part2/44/10.mov,44,drowsy
Fold4_part2/Fold4_part2/44/5.mov,44,low_vigilance
Fold2_part1/Fold2_part1/14/0.mp4,14,alert
Fold2_part1/Fold2_part1/14/10.mp4,14,drowsy
Fold2_part1/Fold2_part1/14/5.mp4,14,low_vigilance
Fold4_part1/Fold4_part1/38/0.mp4,38,alert
Fold4_part1/Fold4_part1/38/10.mp4,38,drowsy
Fold4_part1/Fold4_part1/38/5.mp4,38,low_vigilance
